Timestamp,Age,Gender,Height,Weight,Menu Preferences (iCanteen) [ก๋วยเตี๋ยวไก่],Menu Preferences (iCanteen) [เกี๋ยวน้ำหมูแดง],Menu Preferences (iCanteen) [ข้าวเหนียวไก่ทอด],Menu Preferences (iCanteen) [ไก่ทอดน้ำตก],Menu Preferences (iCanteen) [ข้าวแกงกะหรี่หมูทอด],Menu Preferences (iCanteen) [ข้าวเหนียวคอหมูย่าง],Menu Preferences (iCanteen) [เส้นเล็กต้มยำ],Menu Preferences (iCanteen) [มาม่าน้ำตกหมู],Menu Preferences (iCanteen) [ต้มเลือดหมู],Menu Preferences (iCanteen) [โจ๊กหมู],Menu Preferences (iCanteen) [สุกี้หมู],Menu Preferences (iCanteen) [ข้าวไข่ข้น],Menu Preferences (iCanteen) [ข้าวกะเพราหมู],Menu Preferences (iCanteen) [ข้าวไก่บาร์บีคิว],Menu Preferences (iCanteen) [บะหมี่น้ำหมูแดง],Menu Preferences (iCanteen) [ข้าวมันไก่],Menu Preferences (iCanteen) [ข้าวมันไก่ทอด],Menu Preferences (iCanteen) [ข้าวเหนียวหมูน้ำตก],Menu Preferences (iCanteen) [คั่วไก่],Menu Preferences (iCanteen) [ผัดซีอิ้วหมู],Food Preferences (choose what you like)
17/02/2023 15:53:20,22,Male,180,71,5 - Strongly Like,3 - Neutral,4 - Like,4 - Like,2 - Dislike,4 - Like,5 - Strongly Like,4 - Like,3 - Neutral,3 - Neutral,2 - Dislike,2 - Dislike,3 - Neutral,2 - Dislike,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,2 - Dislike,3 - Neutral,"Spicy, Salty, Fried, Steam, Vegetable, Soup (Contain water), Chicken, Pork"
17/02/2023 15:54:17,20,Male,178,77,3 - Neutral,4 - Like,5 - Strongly Like,4 - Like,4 - Like,5 - Strongly Like,4 - Like,4 - Like,3 - Neutral,2 - Dislike,4 - Like,3 - Neutral,4 - Like,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,4 - Like,1 - Strongly Dislike,"Sweet, Pork, Cheap (Price)"
17/02/2023 16:08:26,22,Male,177,64,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,4 - Like,4 - Like,4 - Like,3 - Neutral,3 - Neutral,4 - Like,2 - Dislike,3 - Neutral,2 - Dislike,5 - Strongly Like,4 - Like,3 - Neutral,5 - Strongly Like,2 - Dislike,3 - Neutral,"Spicy, Sweet, Salty, Fried, Soup (Contain water), Chicken, Pork"
17/02/2023 16:08:43,22,Female,166,49,3 - Neutral,4 - Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,5 - Strongly Like,3 - Neutral,5 - Strongly Like,2 - Dislike,3 - Neutral,3 - Neutral,3 - Neutral,2 - Dislike,3 - Neutral,3 - Neutral,4 - Like,4 - Like,5 - Strongly Like,3 - Neutral,3 - Neutral,"Spicy, Sweet, Salty, Fried, Vegetable"
17/02/2023 16:09:50,21,Male,165,54,2 - Dislike,5 - Strongly Like,5 - Strongly Like,4 - Like,1 - Strongly Dislike,5 - Strongly Like,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,2 - Dislike,5 - Strongly Like,2 - Dislike,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,"Spicy, Sweet, Salty, Fried, Steam, Vegetable, Soup (Contain water), Chicken, Pork"
18/02/2023 01:32:21,21,Female,153,44,2 - Dislike,2 - Dislike,4 - Like,3 - Neutral,3 - Neutral,4 - Like,2 - Dislike,5 - Strongly Like,3 - Neutral,2 - Dislike,2 - Dislike,5 - Strongly Like,5 - Strongly Like,3 - Neutral,2 - Dislike,3 - Neutral,4 - Like,4 - Like,3 - Neutral,2 - Dislike,"Spicy, Salty, Fried"
18/02/2023 22:48:20,22,Female,158,46,3 - Neutral,3 - Neutral,4 - Like,4 - Like,4 - Like,4 - Like,3 - Neutral,3 - Neutral,2 - Dislike,2 - Dislike,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,"Sweet, Salty, Fried, Vegetable, Soup (Contain water), Pork"
22/02/2023 15:28:35,20,Male,180,100,5 - Strongly Like,5 - Strongly Like,4 - Like,4 - Like,4 - Like,4 - Like,4 - Like,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,4 - Like,4 - Like,4 - Like,5 - Strongly Like,4 - Like,"Spicy, Salty, Steam, Soup (Contain water), Cheap (Price)"
22/02/2023 15:32:41,22,Male,175,65,1 - Strongly Dislike,1 - Strongly Dislike,5 - Strongly Like,4 - Like,3 - Neutral,5 - Strongly Like,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,4 - Like,3 - Neutral,2 - Dislike,2 - Dislike,2 - Dislike,4 - Like,3 - Neutral,2 - Dislike,"Spicy, Salty, Fried, Soup (Contain water), Chicken, Pork, Cheap (Price)"
22/02/2023 15:32:43,19,Female,158,48,2 - Dislike,1 - Strongly Dislike,2 - Dislike,2 - Dislike,2 - Dislike,2 - Dislike,2 - Dislike,2 - Dislike,1 - Strongly Dislike,3 - Neutral,3 - Neutral,2 - Dislike,2 - Dislike,2 - Dislike,2 - Dislike,1 - Strongly Dislike,2 - Dislike,3 - Neutral,3 - Neutral,3 - Neutral,"Spicy, Salty, Steam, Vegetable, Pork, Cheap (Price)"
22/02/2023 15:32:50,23,Male,170,65,3 - Neutral,3 - Neutral,5 - Strongly Like,3 - Neutral,2 - Dislike,5 - Strongly Like,2 - Dislike,2 - Dislike,2 - Dislike,5 - Strongly Like,2 - Dislike,5 - Strongly Like,2 - Dislike,2 - Dislike,2 - Dislike,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,2 - Dislike,2 - Dislike,"Spicy, Salty, Fried, Steam, Vegetable, Soup (Contain water), Chicken, Pork, Cheap (Price)"
22/02/2023 15:33:08,21,Male,171,61,4 - Like,3 - Neutral,5 - Strongly Like,5 - Strongly Like,2 - Dislike,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,3 - Neutral,5 - Strongly Like,1 - Strongly Dislike,2 - Dislike,4 - Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,3 - Neutral,"Spicy, Sweet, Salty, Fried, Soup (Contain water), Chicken, Pork, Cheap (Price)"
22/02/2023 15:33:41,22,Male,168,68,,,5 - Strongly Like,,,4 - Like,,,,,,5 - Strongly Like,,,5 - Strongly Like,,,,,,Spicy
22/02/2023 15:33:44,23,Male,173,57,4 - Like,3 - Neutral,4 - Like,2 - Dislike,2 - Dislike,3 - Neutral,4 - Like,2 - Dislike,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,2 - Dislike,4 - Like,3 - Neutral,3 - Neutral,2 - Dislike,3 - Neutral,3 - Neutral,"Spicy, Fried, Cheap (Price)"
22/02/2023 15:36:15,21,Male,181,70,3 - Neutral,3 - Neutral,4 - Like,4 - Like,4 - Like,4 - Like,4 - Like,4 - Like,3 - Neutral,4 - Like,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,4 - Like,4 - Like,4 - Like,4 - Like,3 - Neutral,3 - Neutral,Spicy
22/02/2023 15:36:18,21,Female,159,43,3 - Neutral,3 - Neutral,5 - Strongly Like,5 - Strongly Like,3 - Neutral,4 - Like,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,4 - Like,4 - Like,4 - Like,3 - Neutral,4 - Like,4 - Like,4 - Like,4 - Like,"Spicy, Fried, Pork, Cheap (Price)"
22/02/2023 15:36:40,20,Female,165,65,3 - Neutral,5 - Strongly Like,5 - Strongly Like,4 - Like,3 - Neutral,5 - Strongly Like,3 - Neutral,3 - Neutral,2 - Dislike,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,"Steam, Vegetable, Soup (Contain water), Chicken, Pork, Cheap (Price)"
22/02/2023 15:36:48,19,Female,167,58,,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,,4 - Like,,5 - Strongly Like,,5 - Strongly Like,,4 - Like,,,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,,,"Spicy, Salty, Fried, Soup (Contain water), Pork, Cheap (Price)"
