Nutrient,Breakfast,Lunch,Dinner,Price,Calories,Fat,Saturated Fat,Cholesterol,Sodium,Carbs,Fiber,Sugar,Protein,Spicy,High sugar,High fat,High calorie,is light,is fried,contain water,Has vegetable,High sodium,High protein,High carbs,High Cholesterol,Has chicken,Has pork,Has noodle,High price
chicken_noodle,0.6,0.2,0.2,35,603,18,4.6,548.5,376,58.2,3.2,8.4,55.2,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
dumplings,0.6,0.3,0.1,40,332,10.7,0,0,1925,41.4,1.5,0,17.5,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1
fried_chicken,0.1,0.4,0.5,30,588,16,4.4,168,152,42.2,2,0.2,63.6,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0
fried_chicken_salad_sticky_rice,0.5,0.4,0.1,35,640,18,0,0,0,94,0,0,25,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
fried_pork_curry_rice,0.1,0.4,0.5,40,540,11.4,9.45,0,840,97.5,4.2,1.8,1.5,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1
grilled_pork_with_sticky_rice,0.1,0.4,0.5,40,469,22.3,4.7,116,112,21.1,1,0.1,42.6,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
lek_tom_yam,0.2,0.5,0.3,45,301.5,4.95,1.5,63.75,94.5,36.45,1.5,0,26.4,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1
mama_namtok,0.3,0.4,0.3,30,426,10,0,0,0,67,0,0,26,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
pork_blood_soup,0.7,0.2,0.1,35,346,8.1,2.7,0,2011,34.4,0.4,0.1,33,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1
pork_congee,0.7,0.2,0.1,30,296,7.1,2.1,85,93,23.6,1.8,0.4,34.3,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0
pork_suki,0.3,0.5,0.2,35,466.9,19.2,5.8,327,920,14.4,3.5,5.3,57.1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0
rice_scramble_egg,0.5,0.3,0.2,35,223.5,16.5,5.1,415.5,219,1.6,0.6,2.25,19.05,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0
rice_topped_with_stir_fried_pork_and_basil,0.3,0.4,0.3,35,370,9,0,0,420,59,0,0,14,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0
chicken_bbq_with_rice,0.2,0.4,0.4,35,435,13.25,0,0,1365,59.5,17.5,0,19.75,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0
roasted_red_pork_noodle,0.4,0.4,0.2,35,454,21.2,0,92,0,43.6,1.5,0,22.2,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0
steamed_rice_with_chicken,0.3,0.4,0.3,40,765,32.2,6.8,103,517.6,89.1,3.5,7.2,27.5,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1
steamed_rice_with_fried_chicken,0.3,0.4,0.3,40,693,22,0,0,0,53,0,0,26,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1
sliced_grilled_pork_salad,0.1,0.3,0.6,35,246,6.54,0,0,807.585,11.7,3.525,0.855,33.735,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
stir_fried_rice_noodles_with_chicken,0.2,0.5,0.3,35,495,20.9,0,0,961,59.4,0,0,17.4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
stir_fried_rice_noodles_with_soy_sauce_and_pork,0.2,0.5,0.3,35,730,35.2,9.3,264.8,1025.5,62.1,5,1.2,38.6,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0
